system:time_start,lwe_thickness_gfz,fitted
"Jan 13, 2015",-9.868,-8.442
"Feb 1, 2015",-9.634,-11.482
"Mar 1, 2015",-10.115,-11.245
"Apr 1, 2015",-11.675,-11.02
"Apr 12, 2015",-12.422,-11.111
"Jun 29, 2015",-17.893,-14.607
"Aug 1, 2015",-18.883,-18.743
"Sep 1, 2015",-18.589,-19.373
"Dec 11, 2015",-12.614,-19.322
"Jan 4, 2016",-11.505,-11.231
"Jan 29, 2016",-11.009,-7.322
"Mar 1, 2016",-11.507,-9.315
"May 7, 2016",-15.735,-19.02
"Jun 1, 2016",-17.612,-19.633
"Jul 1, 2016",-19.39,-21.674
"Aug 8, 2016",-20.289,-17.742
"Nov 13, 2016",-15.731,-13.237
"Dec 11, 2016",-13.938,-13.891
