system:time_start,VH_median,fitted
"Jan 6, 2019",-13.793,-13.79
"Jan 18, 2019",-14.021,-13.809
"Jan 30, 2019",-13.241,-13.832
"Feb 11, 2019",-14.02,-13.858
"Feb 23, 2019",-14.139,-13.886
"Mar 7, 2019",-13.925,-13.914
"Mar 19, 2019",-13.828,-13.941
"Mar 31, 2019",-14.156,-13.965
"Apr 12, 2019",-13.202,-13.986
"Apr 24, 2019",-13.929,-14.003
"May 6, 2019",-14.134,-14.014
"May 18, 2019",-13.63,-14.019
"May 30, 2019",-13.837,-14.018
"Jun 11, 2019",-13.2,-14.01
"Jun 23, 2019",-14.35,-13.996
"Jul 5, 2019",-14.192,-13.976
"Jul 17, 2019",-14.57,-13.951
"Jul 29, 2019",-14.023,-13.922
"Aug 10, 2019",-12.834,-13.891
"Aug 22, 2019",-13.928,-13.858
"Sep 3, 2019",-14.021,-13.824
"Sep 15, 2019",-14.297,-13.792
"Sep 27, 2019",-14.036,-13.762
"Oct 9, 2019",-14.193,-13.736
"Oct 21, 2019",-13.95,-13.714
"Nov 2, 2019",-13.922,-13.696
"Nov 14, 2019",-13.928,-13.685
"Nov 26, 2019",-13.034,-13.679
"Dec 8, 2019",-12.435,-13.68
"Dec 20, 2019",-13.725,-13.686
"Jan 1, 2020",-14.2,-13.698
"Jan 13, 2020",-14.034,-13.715
"Feb 6, 2020",-14.279,-13.76
"Feb 18, 2020",-14.137,-13.787
"Mar 1, 2020",-14.249,-13.814
"Mar 13, 2020",-13.062,-13.841
"Mar 25, 2020",-13.337,-13.866
"Apr 6, 2020",-13.722,-13.889
"Apr 18, 2020",-12.959,-13.907
"Apr 30, 2020",-14.415,-13.92
"May 12, 2020",-14.253,-13.928
"May 24, 2020",-13.563,-13.929
"Jun 5, 2020",-14.269,-13.924
"Jun 17, 2020",-13.337,-13.913
"Jun 29, 2020",-13.809,-13.896
"Jul 11, 2020",-14.253,-13.874
"Jul 23, 2020",-14.326,-13.847
"Aug 4, 2020",-14.25,-13.817
"Aug 16, 2020",-13.901,-13.785
"Aug 28, 2020",-14.248,-13.753
"Sep 9, 2020",-14.276,-13.72
"Sep 21, 2020",-14.033,-13.69
"Oct 15, 2020",-13.81,-13.639
"Oct 27, 2020",-12.997,-13.62
"Nov 8, 2020",-13.333,-13.606
"Nov 20, 2020",-13.25,-13.598
"Dec 2, 2020",-13.618,-13.596
"Dec 14, 2020",-14.008,-13.6
"Dec 26, 2020",-14.359,-13.609
"Jan 7, 2021",-13.918,-13.624
"Jan 19, 2021",-14.47,-13.643
"Jan 31, 2021",-14.144,-13.665
"Feb 12, 2021",-14.031,-13.69
"Feb 24, 2021",-14.128,-13.717
"Mar 8, 2021",-14.146,-13.743
"Mar 20, 2021",-13.635,-13.769
"Apr 1, 2021",-13.731,-13.792
"Apr 13, 2021",-14.237,-13.812
"Apr 25, 2021",-13.902,-13.828
"May 7, 2021",-13.923,-13.838
"Aug 23, 2021",-13.538,-13.682
"Sep 4, 2021",-13.518,-13.65
"Sep 16, 2021",-13.908,-13.62
"Sep 28, 2021",-13.716,-13.591
"Oct 10, 2021",-13.072,-13.566
"Oct 22, 2021",-12.991,-13.545
"Nov 3, 2021",-12.772,-13.53
"Nov 15, 2021",-13.152,-13.519
"Nov 27, 2021",-14.039,-13.515
"Dec 9, 2021",-12.67,-13.516
"Dec 21, 2021",-13.354,-13.523
