"","season_start_val","peak_val","season_end_val","season_start_date","peak_date","season_end_date","Seas.","Ampl.","length_days","phase"
"1",-13.245,-12.983,-13.268,2016-04-03,2016-01-10,2016-09-30,1,0.426,180,9
"2",-13.293,-13.049,-13.359,2017-03-29,2017-01-04,2017-09-25,2,0.426,180,3
"3",-13.392,-13.124,-13.449,2018-04-05,2018-01-11,2018-09-20,3,0.426,168,10
"4",-13.439,-13.19,-13.493,2019-03-31,2019-01-06,2019-09-27,4,0.426,180,5
"5",-13.538,-13.258,NA,2020-04-06,2020-01-01,2020-10-03,5,0.426,180,0
"6",-13.534,-13.331,-13.494,2021-03-20,2021-01-07,2021-11-03,6,0.426,228,6
