"","system.time_start","RVI_median","VH_median","VV_median","Date"
"1","Jan 5, 2019",0.736,-12.815,-6.435,2019-01-05
"2","Jan 17, 2019",0.716,-13.555,-6.943,2019-01-17
"3","Jan 29, 2019",0.728,-13.669,-6.941,2019-01-29
"4","Feb 10, 2019",0.729,-13.432,-6.93,2019-02-10
"5","Feb 22, 2019",0.705,-13.438,-6.697,2019-02-22
"6","Mar 6, 2019",0.731,-13.558,-6.934,2019-03-06
"7","Mar 18, 2019",0.721,-13.306,-6.667,2019-03-18
"8","Mar 30, 2019",0.715,-13.687,-7.06,2019-03-30
"9","Apr 11, 2019",0.717,-13.561,-6.938,2019-04-11
"10","Apr 23, 2019",0.73,-13.554,-6.937,2019-04-23
"11","May 5, 2019",0.7,-13.561,-6.684,2019-05-05
"12","May 17, 2019",0.728,-13.075,-6.432,2019-05-17
"13","May 29, 2019",0.682,-13.683,-6.812,2019-05-29
"14","Jun 10, 2019",0.732,-14.186,-7.556,2019-06-10
"15","Jun 22, 2019",0.754,-13.941,-7.442,2019-06-22
"16","Jul 4, 2019",0.713,-13.931,-7.196,2019-07-04
"17","Jul 16, 2019",0.73,-14.172,-7.559,2019-07-16
"18","Jul 28, 2019",0.753,-14.188,-7.945,2019-07-28
"19","Aug 9, 2019",0.792,-13.803,-7.809,2019-08-09
"20","Aug 21, 2019",0.825,-13.686,-7.838,2019-08-21
"21","Sep 2, 2019",0.823,-13.69,-7.828,2019-09-02
"22","Sep 14, 2019",0.85,-13.194,-7.562,2019-09-14
"23","Sep 26, 2019",0.856,-13.304,-7.682,2019-09-26
"24","Oct 8, 2019",0.895,-13.061,-7.564,2019-10-08
"25","Oct 20, 2019",0.871,-13.181,-7.566,2019-10-20
"26","Nov 1, 2019",0.818,-13.068,-7.187,2019-11-01
"27","Nov 13, 2019",0.809,-13.2,-7.185,2019-11-13
"28","Nov 25, 2019",0.78,-12.571,-6.425,2019-11-25
"29","Dec 19, 2019",0.697,-13.699,-6.937,2019-12-19
"30","Dec 31, 2019",0.685,-13.806,-6.829,2019-12-31
"31","Jan 12, 2020",0.697,-13.693,-6.817,2020-01-12
"32","Jan 24, 2020",0.737,-12.416,-5.938,2020-01-24
"33","Feb 5, 2020",0.692,-13.536,-6.814,2020-02-05
"34","Feb 17, 2020",0.705,-13.563,-6.812,2020-02-17
"35","Feb 29, 2020",0.746,-12.411,-5.932,2020-02-29
"36","Mar 12, 2020",0.699,-13.306,-6.574,2020-03-12
"37","Mar 24, 2020",0.692,-13.057,-6.303,2020-03-24
"38","Apr 5, 2020",0.701,-13.283,-6.563,2020-04-05
"39","Apr 17, 2020",0.708,-13.437,-6.695,2020-04-17
"40","Apr 29, 2020",0.669,-13.563,-6.562,2020-04-29
"41","May 11, 2020",0.668,-14.064,-7.059,2020-05-11
"42","May 23, 2020",0.666,-13.31,-6.317,2020-05-23
"43","Jun 4, 2020",0.66,-13.275,-6.185,2020-06-04
"44","Jun 16, 2020",0.698,-13.154,-6.445,2020-06-16
"45","Jun 28, 2020",0.654,-13.312,-6.302,2020-06-28
"46","Jul 10, 2020",0.668,-13.076,-6.183,2020-07-10
"47","Jul 22, 2020",0.692,-13.199,-6.452,2020-07-22
"48","Aug 3, 2020",0.685,-13.406,-6.564,2020-08-03
"49","Aug 15, 2020",0.717,-13.185,-6.559,2020-08-15
"50","Aug 27, 2020",0.692,-13.44,-6.69,2020-08-27
"51","Sep 8, 2020",0.723,-13.099,-6.69,2020-09-08
"52","Sep 20, 2020",0.738,-13.178,-6.803,2020-09-20
"53","Oct 2, 2020",0.763,-13.062,-6.694,2020-10-02
"54","Oct 14, 2020",0.784,-12.805,-6.565,2020-10-14
"55","Oct 26, 2020",0.81,-11.804,-5.822,2020-10-26
"56","Nov 7, 2020",0.793,-12.183,-6.054,2020-11-07
"57","Nov 19, 2020",0.748,-12.435,-6.065,2020-11-19
"58","Dec 1, 2020",0.684,-13.308,-6.446,2020-12-01
"59","Dec 13, 2020",0.692,-12.946,-6.182,2020-12-13
"60","Dec 25, 2020",0.7,-12.718,-5.931,2020-12-25
"61","Jan 6, 2021",0.668,-13.059,-6.196,2021-01-06
"62","Jan 18, 2021",0.708,-13.324,-6.56,2021-01-18
"63","Jan 30, 2021",0.7,-13.407,-6.564,2021-01-30
"64","Feb 11, 2021",0.691,-13.174,-6.324,2021-02-11
"65","Feb 23, 2021",0.73,-12.308,-5.685,2021-02-23
"66","Mar 7, 2021",0.723,-12.431,-5.819,2021-03-07
"67","Mar 19, 2021",0.689,-13.306,-6.433,2021-03-19
"68","Mar 31, 2021",0.69,-13.181,-6.309,2021-03-31
"69","Apr 12, 2021",0.67,-13.304,-6.314,2021-04-12
"70","Apr 24, 2021",0.676,-13.068,-6.183,2021-04-24
"71","May 6, 2021",0.683,-13.309,-6.319,2021-05-06
"72","May 18, 2021",0.676,-13.327,-6.436,2021-05-18
"73","May 30, 2021",0.682,-13.302,-6.311,2021-05-30
"74","Jun 11, 2021",0.684,-13.185,-6.325,2021-06-11
"75","Jun 23, 2021",0.699,-13.343,-6.562,2021-06-23
"76","Jul 5, 2021",0.674,-13.815,-6.81,2021-07-05
"77","Jul 17, 2021",0.698,-13.431,-6.695,2021-07-17
"78","Jul 29, 2021",0.746,-13.341,-6.924,2021-07-29
"79","Aug 10, 2021",0.723,-13.468,-6.817,2021-08-10
"80","Aug 22, 2021",0.754,-13.316,-7.049,2021-08-22
"81","Sep 3, 2021",0.77,-13.196,-6.948,2021-09-03
"82","Sep 15, 2021",0.785,-13.069,-6.794,2021-09-15
"83","Sep 27, 2021",0.809,-12.929,-6.936,2021-09-27
"84","Oct 9, 2021",0.806,-12.851,-6.822,2021-10-09
"85","Oct 21, 2021",0.817,-12.074,-6.194,2021-10-21
"86","Nov 2, 2021",0.809,-12.171,-6.199,2021-11-02
"87","Nov 14, 2021",0.754,-12.433,-6.202,2021-11-14
"88","Nov 26, 2021",0.684,-13.194,-6.303,2021-11-26
"89","Dec 8, 2021",0.723,-12.558,-5.929,2021-12-08
"90","Dec 20, 2021",0.723,-12.693,-6.061,2021-12-20
