"","date","VV_hectareID_NA","VV_sd_hectareID_NA"
"1",2016-01-10,-7.625114,1.592436
"2",2016-01-22,-6.62519,1.483904
"3",2016-02-03,-7.999838,1.7070455
"4",2016-02-15,-7.625067,1.641865
"5",2016-02-27,-7.874889,1.655071
"6",2016-03-10,-7.874874,1.660809
"7",2016-04-03,-8.124297,1.666431
"8",2016-04-15,-8.374695,1.692337
"9",2016-04-27,-8.124303,1.696947
"10",2016-05-09,-8.624296,1.728572
"11",2016-05-21,-7.375182,1.57943
"12",2016-06-02,-8.37493,1.734115
"13",2016-06-14,-7.874769,1.593809
"14",2016-07-08,-8.124611,1.662195
"15",2016-07-20,-7.874621,1.640988
"16",2016-08-01,-8.124872,1.59111
"17",2016-08-13,-8.124347,1.656342
"18",2016-08-25,-8.62479,1.69292
"19",2016-09-06,-8.374955,1.703145
"20",2016-09-18,-8.748875,1.744064
"21",2016-09-30,-7.874527,1.641322
"22",2016-10-12,-7.375146,1.534603
"23",2016-10-24,-8.124203,1.588194
"24",2016-11-05,-8.124387,1.581255
"25",2016-11-17,-7.124585,1.474765
"26",2016-11-29,-7.375026,1.469611
"27",2016-12-11,-7.124836,1.480519
"28",2016-12-23,-7.374612,1.472475
"29",2017-01-04,-7.875281,1.495373
"30",2017-01-16,-7.874832,1.505042
"31",2017-01-28,-7.87482,1.53942
"32",2017-02-09,-6.87434,1.439252
"33",2017-02-21,-6.875085,1.447261
"34",2017-03-05,-7.874928,1.484899
"35",2017-03-17,-7.874382,1.512207
"36",2017-03-29,-7.125219,1.444815
"37",2017-04-10,-7.624507,1.488383
"38",2017-04-22,-8.124636,1.488595
"39",2017-05-04,-7.374682,1.44868
"40",2017-05-16,-8.12448,1.510573
"41",2017-05-28,-7.124923,1.482754
"42",2017-06-09,-7.625337,1.548624
"43",2017-06-21,-8.124178,1.559057
"44",2017-07-03,-7.875735,1.536102
"45",2017-07-15,-7.125257,1.471676
"46",2017-07-27,-8.124795,1.521743
"47",2017-08-08,-8.124775,1.536345
"48",2017-08-20,-8.374229,1.55898
"49",2017-09-01,-8.374465,1.582551
"50",2017-09-13,-7.624391,1.485585
"51",2017-09-25,-8.375198,1.593472
"52",2017-10-07,-8.374341,1.614904
"53",2017-10-19,-8.37501,1.642245
"54",2017-10-31,-8.374571,1.652257
"55",2017-11-12,-6.753469,1.479327
"56",2017-11-24,-7.874663,1.543003
"57",2017-12-06,-7.124855,1.460751
"58",2017-12-18,-7.875002,1.476128
"59",2017-12-30,-7.875081,1.486486
"60",2018-01-11,-7.625379,1.46963
"61",2018-01-23,-8.124864,1.508564
"62",2018-02-04,-6.625051,1.44492
"63",2018-02-16,-7.374466,1.480776
"64",2018-02-28,-7.874367,1.470032
"65",2018-03-12,-6.874903,1.482094
"66",2018-03-24,-7.124888,1.46077
"67",2018-04-05,-7.625173,1.484682
"68",2018-04-17,-7.125292,1.455041
"69",2018-04-29,-7.624782,1.493992
"70",2018-05-11,-7.875148,1.497547
"71",2018-05-23,-7.624401,1.513522
"72",2018-06-04,-7.625083,1.495147
"73",2018-06-16,-7.874493,1.516096
"74",2018-06-28,-7.874684,1.544415
"75",2018-07-10,-7.874537,1.57112
"76",2018-07-22,-7.62478,1.520323
"77",2018-08-03,-8.124778,1.567619
"78",2018-08-15,-8.374388,1.577643
"79",2018-08-27,-8.375061,1.604223
"80",2018-09-08,-8.375447,1.621398
"81",2018-09-20,-8.374928,1.647163
"82",2018-10-02,-8.374572,1.682704
"83",2018-10-14,-8.375463,1.716394
"84",2018-10-26,-7.624972,1.553105
"85",2018-11-07,-7.374598,1.527984
"86",2018-11-19,-7.87456,1.533069
"87",2018-12-01,-7.874967,1.513166
"88",2018-12-13,-7.874205,1.489625
"89",2018-12-25,-7.624364,1.531719
"90",2019-01-06,-7.874441,1.526633
"91",2019-01-18,-7.875248,1.535367
"92",2019-01-30,-7.374769,1.508386
"93",2019-02-11,-7.87544,1.566822
"94",2019-02-23,-7.874637,1.527131
"95",2019-03-07,-7.624975,1.518879
"96",2019-03-19,-7.875021,1.597419
"97",2019-03-31,-7.624363,1.486476
"98",2019-04-12,-6.875508,1.492007
"99",2019-04-24,-7.747982,1.48832
"100",2019-05-06,-7.874638,1.492049
"101",2019-05-18,-7.374957,1.507311
"102",2019-05-30,-7.874599,1.537332
"103",2019-06-11,-7.125458,1.478177
"104",2019-06-23,-8.125239,1.55438
"105",2019-07-05,-8.124539,1.555438
"106",2019-07-17,-8.253411,1.592607
"107",2019-07-29,-7.625147,1.514935
"108",2019-08-10,-7.12547,1.46302
"109",2019-08-22,-7.874307,1.527651
"110",2019-09-03,-7.875266,1.52181
"111",2019-09-15,-8.124859,1.537734
"112",2019-09-27,-8.125042,1.562378
"113",2019-10-09,-8.125375,1.58287
"114",2019-10-21,-8.124967,1.605455
"115",2019-11-02,-7.874754,1.571844
"116",2019-11-14,-8.374578,1.632676
"117",2019-11-26,-7.375217,1.52559
"118",2019-12-08,-6.87497,1.465276
"119",2019-12-20,-7.875299,1.650218
"120",2020-01-01,-8.124055,1.658605
"121",2020-01-13,-7.748718,1.616681
"122",2020-02-06,-7.874872,1.595867
"123",2020-02-18,-7.874691,1.589329
"124",2020-03-01,-8.124686,1.599633
"125",2020-03-13,-7.245475,1.45321
"126",2020-03-25,-7.247527,1.461913
"127",2020-04-06,-7.746027,1.528505
"128",2020-04-18,-7.124547,1.450613
"129",2020-04-30,-7.87505,1.502577
"130",2020-05-12,-7.874447,1.492307
"131",2020-05-24,-7.124936,1.476883
"132",2020-06-05,-7.751368,1.510058
"133",2020-06-17,-7.125106,1.457262
"134",2020-06-29,-7.624861,1.481124
"135",2020-07-11,-7.87499,1.52558
"136",2020-07-23,-7.874823,1.525159
"137",2020-08-04,-7.875451,1.493208
"138",2020-08-16,-7.625194,1.519511
"139",2020-08-28,-8.24624,1.515963
"140",2020-09-09,-8.562621,1.587512
"141",2020-09-21,-8.374795,1.638861
"142",2020-10-15,-8.125072,1.718266
"143",2020-10-27,-7.25037,1.554081
"144",2020-11-08,-7.874939,1.632159
"145",2020-11-20,-7.125434,1.48789
"146",2020-12-02,-7.625287,1.581846
"147",2020-12-14,-7.87494,1.578935
"148",2020-12-26,-7.752726,1.588508
"149",2021-01-07,-7.87491,1.576505
"150",2021-01-19,-8.124653,1.598172
"151",2021-01-31,-8.124553,1.610977
"152",2021-02-12,-7.87495,1.565451
"153",2021-02-24,-7.874475,1.567674
"154",2021-03-08,-7.874516,1.55171
"155",2021-03-20,-7.250136,1.475664
"156",2021-04-01,-7.624203,1.551666
"157",2021-04-13,-8.124697,1.537154
"158",2021-04-25,-7.874367,1.544441
"159",2021-05-07,-7.874897,1.520389
"160",2021-08-23,-8.12459,1.587659
"161",2021-09-04,-7.747331,1.579153
"162",2021-09-16,-7.875337,1.639656
"163",2021-09-28,-7.875563,1.665741
"164",2021-10-10,-7.6249,1.561362
"165",2021-10-22,-7.125158,1.470475
"166",2021-11-03,-6.874911,1.455384
"167",2021-11-15,-7.374909,1.437064
"168",2021-11-27,-7.875075,1.490722
"169",2021-12-09,-6.625169,1.453055
"170",2021-12-21,-7.125173,1.447938
